Two young, White males are outside near many bushes.	bushes two outside many young, near males white.
Several men in hard hats are operating a giant pulley system.	pulley hard giant operating system hats men several.
A little girl climbing into a wooden playhouse.	playhouse wooden into little girl climbing.
A man in a blue shirt is standing on a ladder cleaning a window.	shirt cleaning window standing blue man ladder.
Two men are at the stove preparing food.	men stove preparing two food.
A man in green holds a guitar while the other man observes his shirt.	holds man man his while green observes guitar other shirt.
A man is smiling at a stuffed lion	stuffed lion smiling man.
A trendy girl talking on her cellphone while gliding slowly down the street.	gliding trendy her girl cellphone talking down slowly street while.
A woman with a large purse is walking by a gate.	by walking gate woman large purse.
Boys dancing on poles in the middle of the night.	boys middle dancing poles night.
A ballet class of five girls jumping in sequence.	ballet sequence jumping girls class five.
Four guys three wearing hats one not are jumping at the top of a staircase.	wearing three staircase hats guys jumping one top four not.
A black dog and a spotted dog are fighting	dog spotted fighting black dog.
A man in a neon green and orange uniform is driving on a green tractor.	green neon uniform tractor green man orange driving.
Several women wait outside in a city.	city women several wait outside.
A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.	lady cake sugar glasses top powdered sprinkling bundt black.
A little girl is sitting in front of a large painted rainbow.	rainbow large little painted sitting front girl.
A man lays on the bench to which a white dog is also tied.	to dog tied also white man lays which bench.
Five people are sitting in a circle with instruments.	people circle sitting five instruments.
A bunch of elderly women play their clarinets together as they read off sheet music.	as play together their they music bunch read off women elderly clarinets sheet.
A large structure has broken and is laying in a roadway.	laying large broken has structure roadway.
A large crowd of people stand outside in front of the entrance to a Metro station.	large crowd stand entrance station outside people front to metro.
A man getting a tattoo on his back.	getting man back tattoo his.
Two children sit on a small seesaw in the sand.	seesaw sit sand two children small.
A man wearing a reflective vest and a hard hat holds a flag in the road	hat road man wearing hard reflective flag vest holds.
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	street sidewalk, painting standing person studying dressed scene busy coat blue.
A man in green pants walking down the road.	pants down road man green walking.
The small child climbs on a red ropes on a playground.	child ropes playground small climbs red.
You know i am looking like Justin Bieber.	bieber justin like am looking i you know.
A young man in a black and yellow jacket is gazing at something and smiling.	something jacket smiling black man yellow gazing young.
A man standing at a urinal with a coffee cup.	urinal coffee cup standing man.
Five people walking with a multicolored sky in the background.	five people sky background walking multicolored.
A old man having a beer alone.	alone having man old beer.
A trained police dog sits next to his handler in front of the police van.	police van police his dog next to front sits handler trained.
A person riding a bike on a snowy road.	snowy bike road riding person.
Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.	white dressed open men, van five uniformly shirts, back converse slacks black tie.
A man with a backwards hat works on machinery.	man backwards hat works machinery.
A black woman and a white man working in a factory setting packing jars with candles into boxes.	into black packing candles man working boxes factory white jars setting woman.
Asian man sweeping the walkway.	walkway man asian sweeping.
A man leans into a car to talk to the driver, as a man on a bicycle looks on.	driver, car man to looks on as to talk bicycle man leans into.
Two young toddlers outside on the grass.	grass outside two toddlers young.
People are watching a person in a weird vehicle in a plaza.	vehicle person plaza watching weird people.
A man walks by a silver vehicle.	vehicle silver by walks man.
A beautiful bride walking on a sidewalk with her new husband.	new her husband sidewalk bride walking beautiful.
A little boy playing GameCube at a McDonald's.	gamecube little playing mcdonald's boy.
A white dog shakes on the edge of a beach with an orange ball.	ball white orange dog shakes edge beach.
